player_id,player_name,player_nickname,jersey_number,country,cards,positions,match_id
3468,Jordan Pickford,,1,England,[],"[{'position_id': 1, 'position': 'Goalkeeper', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]",3942819
3495,Joe Gomez,,22,England,[],[],3942819
3664,Trent Alexander-Arnold,,8,England,[],[],3942819
3822,Ezri Konsa Ngoyo,Ezri Konsa,14,England,[],"[{'position_id': 7, 'position': 'Right Wing Back', 'from': '92:17', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]",3942819
3834,Ivan Toney,,17,England,[],[],3942819
3943,Declan Rice,,4,England,[],"[{'position_id': 11, 'position': 'Left Defensive Midfield', 'from': '00:00', 'to': '93:02', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 9, 'position': 'Right Defensive Midfield', 'from': '93:02', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]",3942819
4073,Dean Henderson,,23,England,[],[],3942819
4354,Phil Foden,,11,England,[],"[{'position_id': 18, 'position': 'Right Attacking Midfield', 'from': '00:00', 'to': '79:28', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]",3942819
4760,Ollie Watkins,,19,England,[],"[{'position_id': 23, 'position': 'Center Forward', 'from': '79:41', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]",3942819
9000,Eberechi Eze,,21,England,[],[],3942819
9640,Jarrod Bowen,,20,England,[],[],3942819
10955,Harry Kane,,9,England,[],"[{'position_id': 23, 'position': 'Center Forward', 'from': '00:00', 'to': '79:41', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]",3942819
22084,Bukayo Saka,,7,England,"[{'time': '85:00', 'card_type': 'Yellow Card', 'reason': 'Foul Committed', 'period': 2}]","[{'position_id': 7, 'position': 'Right Wing Back', 'from': '00:00', 'to': '92:17', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]",3942819
22783,Aaron Ramsdale,,13,England,[],[],3942819
28104,Anthony Gordon,,18,England,[],[],3942819
29399,Conor Gallagher,,16,England,[],"[{'position_id': 9, 'position': 'Right Defensive Midfield', 'from': '92:13', 'to': '93:02', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 11, 'position': 'Left Defensive Midfield', 'from': '93:02', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]",3942819
30714,Jude Bellingham,,10,England,"[{'time': '71:05', 'card_type': 'Yellow Card', 'reason': 'Foul Committed', 'period': 2}]","[{'position_id': 20, 'position': 'Left Attacking Midfield', 'from': '00:00', 'to': '09:29', 'from_period': 1, 'to_period': 1, 'start_reason': 'Starting XI', 'end_reason': 'Player Off'}, {'position_id': 20, 'position': 'Left Attacking Midfield', 'from': '10:36', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Player On', 'end_reason': 'Final Whistle'}]",3942819
34526,Marc Guehi,,6,England,[],"[{'position_id': 5, 'position': 'Left Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]",3942819
39461,Cole Palmer,,24,England,[],"[{'position_id': 18, 'position': 'Right Attacking Midfield', 'from': '79:28', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]",3942819
77723,Adam Wharton,,25,England,[],[],3942819
99174,Kobbie Mainoo,,26,England,[],"[{'position_id': 9, 'position': 'Right Defensive Midfield', 'from': '00:00', 'to': '92:13', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]",3942819
3042,Mikel Merino Zazón,Mikel Merino,6,Spain,[],"[{'position_id': 17, 'position': 'Right Wing', 'from': '88:40', 'to': '89:54', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 19, 'position': 'Center Attacking Midfield', 'from': '89:54', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]",3943043
3265,José Luis Sanmartín Mato,Joselu,9,Spain,[],[],3943043
3477,Álvaro Borja Morata Martín,Álvaro Morata,7,Spain,[],"[{'position_id': 23, 'position': 'Center Forward', 'from': '00:00', 'to': '67:19', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]",3943043
4127,David Raya Martin,David Raya,1,Spain,[],[],3943043
4353,Aymeric Laporte,,14,Spain,[],"[{'position_id': 5, 'position': 'Left Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]",3943043
5202,José Ignacio Fernández Iglesias,Nacho,4,Spain,[],"[{'position_id': 3, 'position': 'Right Center Back', 'from': '82:38', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]",3943043
5721,Daniel Carvajal Ramos,Daniel Carvajal,2,Spain,[],"[{'position_id': 2, 'position': 'Right Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]",3943043
6655,Fabián Ruiz Peña,Fabián Ruiz,8,Spain,[],"[{'position_id': 11, 'position': 'Left Defensive Midfield', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]",3943043
6685,Mikel Oyarzabal Ugarte,Mikel Oyarzabal,21,Spain,[],"[{'position_id': 23, 'position': 'Center Forward', 'from': '67:19', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]",3943043
6748,Ferrán Torres García,Ferrán Torres,11,Spain,[],[],3943043
6765,Rodrigo Hernández Cascante,Rodri,16,Spain,[],"[{'position_id': 9, 'position': 'Right Defensive Midfield', 'from': '00:00', 'to': '45:00', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Injury)'}]",3943043
6821,Jesús Navas González,Jesús Navas,22,Spain,[],[],3943043
10336,Alejandro Grimaldo García,Álex Grimaldo,12,Spain,[],[],3943043
11748,Unai Simón Mendibil,Unai Simón,23,Spain,[],"[{'position_id': 1, 'position': 'Goalkeeper', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]",3943043
16532,Daniel Olmo Carvajal,Daniel Olmo,10,Spain,"[{'time': '29:57', 'card_type': 'Yellow Card', 'reason': 'Foul Committed', 'period': 1}]","[{'position_id': 19, 'position': 'Center Attacking Midfield', 'from': '00:00', 'to': '89:54', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 17, 'position': 'Right Wing', 'from': '89:54', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]",3943043
17620,Marc Cucurella Saseta,Marc Cucurella,24,Spain,[],"[{'position_id': 6, 'position': 'Left Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]",3943043
22128,Robin Aime Robert Le Normand,Robin Le Normand,3,Spain,[],"[{'position_id': 3, 'position': 'Right Center Back', 'from': '00:00', 'to': '82:38', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]",3943043
24921,Martín Zubimendi Ibáñez,Martín Zubimendi,18,Spain,[],"[{'position_id': 9, 'position': 'Right Defensive Midfield', 'from': '45:00', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Injury)', 'end_reason': 'Final Whistle'}]",3943043
32185,Alejandro Remiro Gargallo,Álex Remiro,13,Spain,[],[],3943043
41115,Alejandro Baena Rodríguez,Álex Baena,15,Spain,[],[],3943043
41542,Daniel Vivian Moreno,Dani Vivian,5,Spain,[],[],3943043
68574,Nicholas Williams Arthuer,Nico Williams,17,Spain,[],"[{'position_id': 21, 'position': 'Left Wing', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]",3943043
143864,Fermin Lopez Marin,Fermín López,25,Spain,[],[],3943043
316046,Lamine Yamal Nasraoui Ebana,Lamine Yamal,19,Spain,[],"[{'position_id': 17, 'position': 'Right Wing', 'from': '00:00', 'to': '88:40', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]",3943043
3088,Lewis Dunk,,15,England,[],[],3943043
3205,Kyle Walker,,2,England,[],"[{'position_id': 2, 'position': 'Right Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]",3943043
3244,John Stones,,5,England,"[{'time': '52:31', 'card_type': 'Yellow Card', 'reason': 'Foul Committed', 'period': 2}]","[{'position_id': 3, 'position': 'Right Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]",3943043
3308,Kieran Trippier,,12,England,[],[],3943043
3382,Luke Shaw,,3,England,[],"[{'position_id': 6, 'position': 'Left Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]",3943043
3468,Jordan Pickford,,1,England,[],"[{'position_id': 1, 'position': 'Goalkeeper', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]",3943043
3495,Joe Gomez,,22,England,[],[],3943043
3664,Trent Alexander-Arnold,,8,England,[],[],3943043
3822,Ezri Konsa Ngoyo,Ezri Konsa,14,England,[],[],3943043
3834,Ivan Toney,,17,England,[],"[{'position_id': 21, 'position': 'Left Wing', 'from': '89:12', 'to': '89:20', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 24, 'position': 'Left Center Forward', 'from': '89:20', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]",3943043
3943,Declan Rice,,4,England,[],"[{'position_id': 11, 'position': 'Left Defensive Midfield', 'from': '00:00', 'to': '89:20', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 10, 'position': 'Center Defensive Midfield', 'from': '89:20', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]",3943043
4073,Dean Henderson,,23,England,[],[],3943043
